q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q6,id,q6dik,thetas_q1,thetas_q2,thetas_q3,thetas_q4,thetas_nosacq,nosacq_sumscore,nosacq_dik
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,3,2,NA,36,NA,7.295476831510103,5.973920818306586,6.017596473447941,1.681873843351298,4,14,1
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,NA,38,NA,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
0,1,1,0,3,2,1,1,1,2,0,0,0,2,1,1,2,2,2,2,0,1,NA,39,NA,-2.2037978408134937,-0.47148196250981145,-0.8355582562827564,1.6818738433512992,-0.4908497955986151,5,0
2,3,3,3,1,2,2,3,3,3,2,3,3,3,3,2,3,2,3,1,2,3,NA,41,NA,5.212645093423154,3.9273517066722574,3.913291741954898,4.941333282279011,4,14,1
2,1,2,3,0,3,3,2,2,2,2,3,3,2,2,2,2,2,3,1,3,3,NA,42,NA,3.1026330451050157,3.927351706672258,2.709169651013498,4.121989414829278,2.3933626611217846,10,1
2,2,3,2,0,3,3,3,3,3,3,2,3,2,3,2,3,2,2,2,3,2,NA,43,NA,3.865587103432423,4.66968312733143,4.688697376262989,3.363966780516455,3.6070710534001105,12,1
2,2,2,1,0,3,1,2,2,1,1,1,2,0,2,2,1,0,1,3,2,2,NA,44,NA,2.346912601165269,1.6955009110512615,0.1798013671878688,-0.4950284156778258,0.6712963103208986,7,0
1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,NA,45,NA,0.2956039891426447,1.1559974701783018,1.2828974003997355,-0.4950284156778258,0.10460154462159484,6,0
2,2,1,1,0,2,2,3,2,1,2,2,3,2,2,2,2,1,2,2,2,2,NA,46,NA,1.6724902460457465,2.7746788901630715,1.7132660161098876,1.681873843351298,1.2237390470267122,8,0
2,3,3,3,0,3,3,3,2,2,1,2,2,0,2,2,3,2,1,1,3,3,NA,47,NA,5.212645093423154,3.9273517066722583,0.8899171831508685,3.363966780516454,4,13,1
3,2,3,2,1,2,2,2,3,3,3,2,3,3,2,2,2,2,1,2,2,3,NA,48,NA,4.548904768653117,2.7746788901630715,3.9132917419548976,2.522836086014548,3.607071053400112,12,1
1,1,0,2,1,1,0,0,1,1,1,0,3,0,2,1,3,3,2,3,3,3,NA,49,NA,-0.5843707865738104,-2.1824896947585763,0.889917183150869,4.94133328227901,1.2237390470267124,8,0
1,1,1,1,2,1,1,0,1,1,1,1,2,1,0,1,1,1,1,2,1,1,NA,50,NA,-0.5843707865738103,-1.010888067071438,-0.49131745167053514,-0.4950284156778258,-0.4908497955986152,5,0
1,1,0,1,1,1,1,1,1,2,2,3,3,3,3,0,2,2,1,2,1,1,NA,51,NA,-2.2037978408134937,0.6131642011273591,2.709169651013498,0.9501695254740968,0.6712963103208982,7,0
3,2,3,2,3,1,3,3,1,2,2,1,3,3,1,3,2,3,1,1,3,1,NA,53,NA,5.212645093423153,1.6955009110512609,2.7091696510134984,1.681873843351298,3.005637135808732,11,1
2,2,2,2,1,1,2,2,2,1,2,2,2,2,3,3,2,1,1,2,2,2,NA,54,NA,3.8655871034324223,1.6955009110512622,1.7132660161098872,0.9501695254740972,1.792152399734839,9,1
2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,NA,55,NA,2.3469126011652683,1.6955009110512618,0.8899171831508685,1.681873843351298,1.792152399734839,9,1
2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,NA,56,NA,3.1026330451050166,0.6131642011273593,1.7132660161098876,0.9501695254740972,1.7921523997348396,9,1
3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,NA,57,NA,5.98298056550203,2.7746788901630715,1.7132660161098876,3.363966780516455,4,14,1
2,2,2,2,0,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,NA,59,NA,3.1026330451050166,1.6955009110512615,1.2828974003997355,1.6818738433512983,1.7921523997348396,9,1
1,1,1,0,2,1,1,1,1,1,0,1,3,2,1,0,1,2,2,2,1,1,NA,61,NA,-2.2037978408134937,-0.4714819625098114,0.17980136718786863,0.9501695254740972,-1.0928668292272012,4,0
3,1,2,3,0,2,3,3,3,3,2,3,3,3,3,3,2,3,3,0,3,3,NA,62,NA,4.548904768653118,4.669683127331429,4.688697376262988,4.94133328227901,3.6070710534001105,12,1
2,3,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,NA,63,NA,2.3469126011652692,-0.4714819625098114,0.17980136718786868,1.6818738433512992,1.7921523997348403,9,1
2,2,2,2,0,2,3,3,3,2,2,2,2,2,3,3,2,2,3,1,3,2,NA,64,NA,3.8655871034324223,3.9273517066722574,2.7091696510134984,3.363966780516455,2.393362661121786,10,1
2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,3,NA,65,NA,2.3469126011652683,0.613164201127359,0.8899171831508685,3.3639667805164555,2.393362661121786,10,1
1,2,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,NA,66,NA,2.3469126011652683,0.06904002740801556,0.8899171831508688,2.522836086014548,1.7921523997348392,9,1
